text_id,macro_category,n_cases
gig_1097b,Extension,2
gig_1097c,Enhancement,3
gig_1097d,Elaboration,1
gig_1097d,Enhancement,10
gig_1097d,Extension,4
gig_1097e,Elaboration,2
gig_1097e,Enhancement,6
gig_1097e,Extension,3
gig_1097f,Enhancement,18
gig_1097f,Extension,2
gig_1098a,Enhancement,4
gig_1098a,Extension,1
gig_1098b,Enhancement,5
gig_1098b,Extension,3
gig_1098c,Enhancement,4
gig_1098d,Enhancement,12
gig_1098d,Extension,4
gig_1098e,Elaboration,3
gig_1098e,Enhancement,14
gig_1098e,Extension,2
gig_1098f,Enhancement,5
gig_1098f,Extension,1
gig_1099a,Elaboration,1
gig_1099a,Enhancement,4
gig_1099b,Enhancement,6
gig_1099c,Elaboration,3
gig_1099c,Enhancement,2
gig_1099c,Extension,1
gig_1099d,Elaboration,2
gig_1099d,Enhancement,10
gig_1099e,Enhancement,2
gig_1099e,Extension,1
gig_1099f,Enhancement,1
gig_109a,Enhancement,10
gig_109b,Enhancement,3
gig_10a,Enhancement,2
gig_10a,Extension,3
gig_1100a,Enhancement,3
gig_1100b,Enhancement,2
gig_1100b,Extension,1
gig_1100c,Enhancement,1
gig_1100c,Extension,2
gig_1100d,Enhancement,3
gig_1100d,Extension,3
gig_1100e,Enhancement,6
gig_1100e,Extension,2
gig_1100f,Enhancement,5
gig_1100f,Extension,1
gig_1101a,Extension,1
gig_1101b,Enhancement,5
gig_1101c,Elaboration,1
gig_1101c,Enhancement,7
gig_1101c,Extension,3
gig_1101d,Enhancement,10
gig_1101d,Extension,4
gig_1101e,Elaboration,1
gig_1101e,Enhancement,5
gig_1101e,Extension,1
gig_1102a,Enhancement,1
gig_1102b,Enhancement,4
gig_1102b,Extension,1
gig_1102c,Enhancement,2
gig_1102d,Enhancement,4
gig_1102d,Extension,4
gig_1102e,Elaboration,1
gig_1102e,Enhancement,13
gig_1102e,Extension,4
gig_1102f,Enhancement,6
gig_1102f,Extension,1
gig_1103a,Enhancement,4
gig_1103a,Extension,3
gig_1103b,Enhancement,2
gig_1103c,Elaboration,1
gig_1103c,Enhancement,4
gig_1103c,Extension,1
gig_1103d,Enhancement,4
gig_1103d,Extension,1
gig_1103e,Enhancement,3
gig_1103f,Enhancement,3
gig_1103f,Extension,1
gig_1104,Elaboration,1
gig_1104,Enhancement,6
gig_1104,Extension,2
gig_1105a,Enhancement,4
gig_1105b,Enhancement,5
gig_1105b,Extension,2
gig_1105c,Enhancement,9
gig_1105c,Extension,1
gig_1105d,Enhancement,18
gig_1105d,Extension,5
gig_1105e,Elaboration,1
gig_1105e,Enhancement,9
gig_1105e,Extension,2
gig_1105f,Enhancement,26
gig_1105f,Extension,3
gig_1106a,Enhancement,9
gig_1106a,Extension,6
gig_1106b,Enhancement,7
gig_1106b,Extension,2
gig_1106c,Enhancement,4
gig_1106c,Extension,1
gig_1106d,Enhancement,6
gig_1106e,Enhancement,14
gig_1106e,Extension,4
gig_1106f,Enhancement,12
gig_1107a,Enhancement,5
gig_1107a,Extension,3
gig_1107b,Enhancement,7
gig_1108a,Enhancement,1
gig_1108b,Enhancement,5
gig_1108b,Extension,5
gig_1108c,Elaboration,4
gig_1108c,Enhancement,1
gig_1108d,Elaboration,1
gig_1108d,Enhancement,2
gig_1108d,Extension,5
gig_1108e,Elaboration,1
gig_1108e,Enhancement,3
gig_1108e,Extension,3
gig_1108f,Enhancement,2
gig_1109a,Elaboration,1
gig_1109a,Enhancement,6
gig_1109a,Extension,1
gig_1109b,Enhancement,8
gig_1109b,Extension,2
gig_1109c,Enhancement,4
gig_1109c,Extension,2
gig_1109d,Enhancement,12
gig_1109d,Extension,6
gig_1109e,Enhancement,7
gig_110a,Enhancement,9
gig_110a,Extension,4
gig_110b,Enhancement,6
gig_110b,Extension,1
gig_1110,Elaboration,3
gig_1110,Enhancement,9
gig_1110,Extension,4
gig_1111a,Elaboration,2
gig_1111a,Enhancement,31
gig_1111a,Extension,5
gig_1111b,Elaboration,1
gig_1111b,Enhancement,31
gig_1111b,Extension,3
gig_1112a,Enhancement,3
gig_1112a,Extension,1
gig_1112b,Enhancement,2
gig_1112b,Extension,2
gig_1113,Elaboration,1
gig_1113,Enhancement,13
gig_1113,Extension,4
gig_1115a,Enhancement,2
gig_1115a,Extension,1
gig_1115b,Enhancement,3
gig_1115c,Enhancement,3
gig_1115c,Extension,1
gig_1115d,Enhancement,9
gig_1116a,Enhancement,4
gig_1116a,Extension,2
gig_1116b,Enhancement,10
gig_1116b,Extension,7
gig_1116c,Enhancement,14
gig_1116c,Extension,1
gig_1118a,Enhancement,5
gig_1118b,Enhancement,3
gig_1118c,Enhancement,5
gig_1118c,Extension,1
gig_1118d,Enhancement,2
gig_1118e,Enhancement,2
gig_1118e,Extension,2
gig_1119b,Extension,1
